latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
40.85859202,-73.89571455,1,3,0.4,1,0,65
40.85994456,-73.88482467,1,0,,1,39,21
40.86925005,-73.89534099,3,4,4,5,175,65
40.86917325,-73.89464638,3,0,,5,175,65
40.86909071,-73.89396199,3,1,0.48,3,323,50
40.86913892,-73.89509569,3,0,,3,115,65
40.86032417,-73.88493268,1,0,,1,365,130
40.78028641,-73.80384805,3,3,0.2,1,364,45
40.78572541,-73.81062433,1,0,,1,365,85
40.78545817,-73.82123079,2,1,0.7,1,77,50
40.77982892,-73.81722354,3,0,,1,363,53
40.79720865,-73.81600327,3,2,0.12,1,357,400
40.7864704,-73.82160511,2,7,1.46,1,77,100
40.78723632,-73.82099801,15,0,,1,358,110
40.54863719,-74.17048634,1,15,1.81,1,86,55
40.55165868,-74.16895174,1,55,2.89,3,352,42
40.55768542,-74.17155637,1,8,1.98,1,258,60
40.55073404,-74.16905213,1,27,1.49,3,342,49
40.59472406,-74.06277549,1,0,,1,360,1200
40.59526454,-74.06471486,7,0,,1,0,120
40.59652785,-74.06371161,2,0,,1,0,150
40.59678754,-74.0829969,7,0,,2,173,29
40.58768606,-74.0698601,1,9,0.47,1,355,80
40.59262451,-74.06658674,2,3,0.05,3,356,125
40.59251219,-74.06478946,2,9,0.17,3,344,250
40.59729661,-74.07132597,4,0,,1,89,119
40.59036818,-74.07816134,3,4,0.39,1,264,70
40.5941171,-74.06954857,3,1,0.5,1,365,105
40.59371772,-74.06766412,3,0,,1,82,60
40.59192979,-74.06476426,4,1,0.06,3,344,625
40.58909599,-73.79483524,2,35,1.71,6,61,59
40.58864139,-73.7948267,1,6,0.87,3,360,80
40.59298228,-73.79766034,1,21,2.33,19,62,60
40.58842846,-73.79905104,3,6,0.87,1,67,450
40.59422171,-73.79958635,1,9,1.43,19,336,30
40.59929202,-73.7969592,1,15,1.46,2,359,110
40.58834317,-73.79509183,1,32,1.86,3,365,80
40.58882378,-73.79590529,2,17,2.63,1,137,101
40.59382763,-73.79916168,1,2,1.33,19,349,30
40.59283441,-73.79782974,1,1,1,19,335,30
40.5909756,-73.80080695,1,8,4.29,1,208,100
40.5925318,-73.79919498,1,20,2.29,19,348,30
40.59399395,-73.79692791,1,30,1.41,1,345,300
40.5926972,-73.78989598,1,50,2.45,4,355,250
40.58977186,-73.79497948,2,44,2.14,6,331,89
40.59430699,-73.79781712,1,1,0.63,19,335,30
40.58897658,-73.79739477,1,35,1.62,1,364,138
40.58929235,-73.79441447,3,2,0.77,2,352,60
40.59376428,-73.79995534,1,10,2.68,1,301,95
40.59683734,-73.79448966,2,135,4.14,2,159,45
40.59010237,-73.79343322,2,0,,6,268,149
40.59073401,-73.79225628,1,5,0.5,2,365,200
40.59738607,-73.80023681,4,4,0.47,2,336,180
40.58835237,-73.79565339,2,83,2.69,6,277,95
40.59463963,-73.79804331,1,14,2.13,19,61,30
40.59050983,-73.79152455,1,24,3.04,4,164,69
40.58927653,-73.79531335,1,2,0.24,1,0,150
40.588325,-73.79953952,3,0,,1,288,180
40.58913783,-73.79155341,1,0,,1,365,25
40.5946243,-73.79775406,1,11,1.72,19,359,30
40.59054754,-73.79281037,1,1,0.45,2,329,60
40.58873452,-73.79503411,1,20,1.08,3,365,80
40.59247095,-73.79949161,1,9,1.39,19,331,30
40.59377685,-73.79874012,1,16,2.46,19,336,30
40.59396258,-73.79108696,1,0,,3,365,250
40.58977629,-73.79935306,1,1,0.16,1,364,50
40.59621825,-73.79649903,2,1,0.5,1,177,99
40.59373178,-73.79498402,1,2,0.33,1,86,38
40.59172152,-73.78665268,1,11,0.36,1,0,35
40.59455452,-73.79962731,1,16,2.54,19,349,20
40.58936061,-73.79374455,2,1,0.46,6,58,299
40.59429772,-73.7985736,1,2,0.41,1,88,69
40.59084401,-73.79308232,1,2,0.25,1,179,90
40.59599651,-73.78865824,1,7,1.19,1,365,175
40.59289428,-73.7996824,1,2,1.71,19,60,30
40.59005493,-73.7944916,2,43,6,1,155,60
